datasetid;title;description;theme;keyword;license;license_url;language;timezone;modified;modified_updates_on_metadata_change;modified_updates_on_data_change;data_processed;metadata_processed;publisher;references;records_count;attributions;source_domain;source_domain_title;source_domain_address;source_dataset;federated;oauth_scope;parent_domain;dcat.created;dcat.issued;dcat.creator;dcat.contributor;dcat.contact_name;dcat.contact_email;dcat.accrualperiodicity;dcat.spatial;dcat.temporal;dcat.granularity;dcat.dataquality;inspire.theme;inspire.type;inspire.file_identifier;inspire.hierarchy_level;inspire.hierarchy_level_name;inspire.spatial_resolution;inspire.topologic_consistency;inspire.contact_individual_name;inspire.contact_position;inspire.contact_address;inspire.contact_email;inspire.identification_purpose;inspire.extend_description;inspire.extend_bounding_box_westbound_longitude;inspire.extend_bounding_box_eastbound_longitude;inspire.extend_bounding_box_southbound_latitude;inspire.extend_bounding_box_northbound_latitude;dcat_ap_ch.domain;dcat_ap_ch.rights;semantic.rml_mapping;semantic.classes;semantic.properties;explore.download_count
bugdet-votes-principaux;Budgets Votés Principaux 2009 - 2017 (M14-M52 Ville-département);"<p>Présentation des montants en crédits de paiement du budget général de la collectivité parisienne. Le Budget Primitif (BP) est le premier budget voté. Il autorise les dépenses et les recettes pour l’année civile à venir.</p><p>La section fonctionnement du budget primitif comporte l’ensemble des charges et des produits de la gestion courante de la collectivité.</p><p>La section d’investissement regroupe toutes les opérations qui affectent la consistance du patrimoine de la collectivité.</p><p> Pour Paris, étant à la fois une commune et un département, il convient de distinguer le budget municipal du budget départemental. Le jeu de données contient, par budget (municipal ou départemental), pour un exercice donné, tous les montants votés par section budgétaire (investissement ou fonctionnement), en dépenses ou en recettes et par imputation budgétaire. Il est également possible, à partir de du site <a href=""http://budgetprimitif2015.paris.fr/#/"">http://budgetprimitif2015.paris.fr/#/</a> tous les informations correspondantes </p>
<table> <tbody><tr> <td><strong>Nom de la colonne</strong></td> <td><strong>Description</strong></td> </tr> <tr> <td>Exercice Comptable</td> <td>Année concernée</td> </tr> <tr> <td>Budget</td> <td>Type de budget (Budget Général   ou Budget Annexe) et nomenclature budgétaire qui s'y rattachent (M14 pour la   commune, M52 pour le département)</td> </tr> <tr> <td>Section Budgétaire (I/F)</td> <td>Dépenses ou Recettes relevant de   la section de fonctionnement ou la section d'investissement</td> </tr> <tr> <td>Sens (Dépense / Recette)</td> <td>Indique s'il s'agit de dépenses   ou de recettes</td> </tr> <tr> <td>Type d'opération (R/O/I/M)</td> <td>Précise si cela relève de   dépenses réelles (type R) ou de dépenses d'ordre (types I/O/M). Ces dernières   ne provoquent aucun décaissement (pour les dépenses) ou encaissement (pour   les recettes)</td> </tr> <tr> <td>Type du Vote</td> <td>Il peut s'agir du Budget   Primitif (BP) qui est annuel ou d'une décision budgétaire infra-annuelle   (Budget supplémentaire ou Décision Modificative)</td> </tr> <tr> <td>Chapitre Budgétaire - Clé</td> <td>Indique le numéro de chapitre   concerné selon la nomenclature budgétaire (M14, M52…) visée</td> </tr> <tr> <td>Chapitre Budgétaire - Texte</td> <td>Libellé correspondant au nom du   chapitre concerné de la nomenclature budgétaire (M14, M52…) visée</td> </tr> <tr> <td>Nature Budgétaire - Clé</td> <td>La nature précise le type de   dépenses et la clé en précise le numéro selon    la nomenclature budgétaire (M14, M52…) visée</td> </tr> <tr> <td>Nature Budgétaire - Texte</td> <td>La nature précise le type de   dépenses et le texte en précise le libellé selon  la nomenclature budgétaire (M14, M52…)   visée</td> </tr> <tr> <td>Fonction - Clé</td> <td>La fonction indique la   destination de la dépense et la clé en précise le numéro selon  la nomenclature budgétaire (M14, M52…)   visée</td> </tr> <tr> <td>Fonction - Texte</td> <td>La fonction indique la   destination de la dépense et le texte en précise le libellé selon  la nomenclature budgétaire (M14, M52…)   visée</td> </tr> <tr> <td>Crédits votés (pmt)</td> <td>Les crédits de paiement   constituent la limite supérieure des dépenses pouvant être mandatées pendant   l’année pour la couverture des engagements contractés dans le cadre des   Autorisations de Programme correspondantes. </td> </tr></tbody></table>";Administration et Finances Publiques;budget, finances, M14, M52;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2018-06-06T14:16:05+00:00;;;2018-09-05T10:27:21+00:00;2018-10-18T13:16:53+00:00;Mairie de Paris / Direction des Finances et des Achats;;28075;;;;;;False;;;;;;;;;Annuelle;;;;;;;;;;;;;;;;;;;;;;;;;;;747
liste-des-marches-de-la-collectivite-parisienne;Liste des marchés de la collectivité parisienne;<p>Le jeu de données représente la liste des marchés supérieurs à 20 000 € passés par la collectivité parisienne. Cette liste précise l’objet du marché, le nom du titulaire, le montant du marché sur sa durée complète, sa durée, le budget de rattachement, l’article du Code des marchés publics  relatif au mode de mise en concurrence, la nature de l’achat concerné.</p><table> <tbody><tr> <td>Nom de la colonne</td> <td><strong>Description</strong></td> </tr> <tr> <td>Année de notification</td> <td>Année de notification   du marché </td> </tr> <tr> <td>N° Marché</td> <td>Numéro national de   recensement du marché  </td> </tr> <tr> <td>Objet du marché</td> <td>Objet du marché</td> </tr> <tr> <td>Nature du marché </td> <td>Fournitures, Travaux ou   Services</td> </tr> <tr> <td>Fournisseur - Nom</td> <td>Nom du titulaire du   marché </td> </tr> <tr> <td>Fournisseur - Siret</td> <td>Identifiant national de   l’entreprise –niveau établissement </td> </tr> <tr> <td>Fournisseur - Code Postal</td> <td>Code postal de   l’entreprise</td> </tr> <tr> <td>Fournisseur - Ville</td> <td>Commune où est   localisée l’entreprise  </td> </tr> <tr> <td>Montant min (HT)</td> <td>Montant minimum du   marché (en cas de marché comportant des montants mini et maxi ). En cas de   marché à montant forfaitaire, les montants mini et maxi sont identiques. Ces   montants sont ceux sur la durée complète du marché  </td> </tr> <tr> <td>Montant max (HT)</td> <td>Montant maximum du   marché (en cas de marché comportant des montants mini et maxi ). En cas de   marché à montant forfaitaire, les montants mini et maxi sont identiques. Ces   montants sont ceux sur la durée complète du marché  </td> </tr> <tr> <td>Date de notification</td> <td>Date à laquelle le   marché a été notifié à l’entreprise</td> </tr> <tr> <td>Date de début</td> <td>Date de début effectif   de l’exécution du marché</td> </tr> <tr> <td>Date de fin</td> <td>Date de fin de   l’exécution du marché</td> </tr> <tr> <td>Durée du marché (en jours)</td> <td>Durée du marché </td> </tr> <tr> <td>Périmètre financier</td> <td>Budget de rattachement   du marché : Ville de paris, Département de Paris, Budgets annexes (Eau,   Assainissement, Aide Sociale à l’Enfance, Transports Automobiles municipaux)    </td> </tr> <tr> <td>Article CMP</td> <td>Article du Code des   Marchés Publics visé pour le choix du mode de mise en concurrence </td> </tr> <tr> <td>Catégorie d’achat - clé</td> <td>Identifiant de la   nature d’achat issu de la nomenclature achat de la collectivité parisienne   qui sert de base à la définition des besoins et à la computation des seuils   de mise en concurrence ( article 27 du CMP)</td> </tr> <tr> <td>Catégorie d’achat - texte</td> <td>Libellé de la nature   d’achat </td> </tr></tbody></table><p><strong></strong></p>;Administration et Finances Publiques;marchés;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2018-06-08T12:26:02+00:00;False;False;2018-06-11T08:49:13+00:00;2019-03-29T08:55:16+00:00;Mairie de Paris / Direction des Finances et des Achats;;8652;;;;;;False;;;;;;;;;Annuelle;;;;;;;;;;;;;;;;;;;;;;;;;;;906
les-titres-les-plus-pretes;Les titres les plus prêtés dans les bibliothèques de prêt;<p>Les références les plus empruntées en 2018 au sein des bibliothèques municipales de la ville de Paris. </p><p><strong>Attention, tenir compte dans l'interprétation du nombre d'exemplaires,qui joue un rôle important. Ainsi les titres jeunesse sont présents en nombre d'exemplaires très élevé, ce qui explique la prédominance de ces titres dans la liste.</strong></p><p>La mise de ce jeu de données est annuelle.</p><p>En pièce jointe, vous trouverez le même fichier au format xlsx contenant les liens vers les œuvres.</p>;Culture;bibliothèques, livres, documents, DVD, CD, références, prêt;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2018-07-20T16:07:27+00:00;;;2018-07-30T18:57:29+00:00;2018-07-30T18:57:30+00:00;Mairie de Paris / Direction des Affaires Culturelles  ;;825;Service Informatique des Bibliothèques;;;;;False;;;;;Mairie de Paris/Direction des Affaires Culturelles/Service informatique des bibliothèques;;;;Annuelle;;;;;;;;;;;;;;;;;;;;;;;;;;;5336
les-1000-titres-les-plus-reserves-dans-les-bibliotheques-de-pret;Les 1000 titres les plus réservés dans les bibliothèques de prêt;<p>Les 1000 références les plus réservées en 2018 au sein des bibliothèques municipales de la ville de Paris.</p><p>La mise de ce jeu de données est annuelle.</p><p>En pièce jointe, vous trouverez le même fichier au format xlsx contenant les liens vers les œuvres.</p>;Culture;bibliothèques, livres, documents, DVD, CD, références, réservation, prêt;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2018-07-20T16:10:16+00:00;;;2018-07-20T16:11:11+00:00;2018-07-20T16:11:12+00:00;Mairie de Paris / Direction des Affaires Culturelles  ;;1000;Service Informatique des Bibliothèques;;;;;False;;;;;Mairie de Paris/Direction des Affaires Culturelles/Service informatique des bibliothèques;;;;Annuelle;;;;;;;;;;;;;;;;;;;;;;;;;;;6369
touspe3;Collections des bibliothèques et fonds spécialisés et patrimoniaux;"<p>Extraction du catalogue des collections des bibliothèques et fonds patrimoniaux et spécialisés de la Ville de Paris, au 15 juillet 2018, à l'exception de la base d'articles. Attention, les données peuvent avoir évolué depuis, elles ne sont pas dynamiques. Voir également <a href=""http://bibliotheques-specialisees.paris.fr/"" target=""_blank"">http://bibliotheques-specialisees.paris.fr/</a></p>";Culture;bibliothèques, patrimoine, livres, manuscrits, iconographie, périodiques, CD, DVD;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2018-07-20T16:14:55+00:00;;;2018-07-21T19:25:48+00:00;2018-07-21T19:25:49+00:00;Mairie de Paris / Direction des Affaires Culturelles  ;;1410567;Service Informatique des Bibliothèques;;;;;False;;;2018-07-21;2018-07-21;Mairie de Paris/Direction des Affaires Culturelles/Service informatique des bibliothèques;;;;Annuelle;;;;;;;;;;;;;;;;;;;;;;;;;;;2563
postes-publics-des-bibliotheques;Postes publics des bibliothèques;<p>Liste, au 25 juillet 2018 des postes publics des bibliothèques et leur répartition par type : consultation du catalogue, postes adultes, postes jeunesse, postes chercheur... Ces données sont susceptibles de varier.</p>;Culture;postes publics, ordinateurs, catalogues en ligne, bibliothèques;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2018-07-26T11:51:29+00:00;;;2018-07-26T12:50:16+00:00;2018-07-26T12:50:17+00:00;Service Informatique des Bibliothèques;;268;;;;;;False;;;2017-09-27;2017-09-27;Mairie de Paris/Direction des Affaires Culturelles/Service informatique des bibliothèques;;;;annuelle;;;;;;;;;;;;;;;;;;;;;;;;;;;1817
tous-les-documents-des-bibliotheques-de-pret;Tous les documents des bibliothèques de prêt;<p>Toutes les collections des bibliothèques de prêt, telles qu'elles étaient le 27 juillet 2018. Plus de 815 000 titres sont référencés. Attention les données peuvent avoir évolué depuis, elles ne sont pas dynamiques</p><p>Le jeu de données comprend de nombreuses données sauf les résumés et les mots clés sujet</p>;Culture;bibliothèques, ouvrages, DVD, CD, Livres, discothèques, vidéothèques, médiathèques, revues;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2018-07-27T18:39:14+00:00;;;2018-07-29T21:33:42+00:00;2018-07-29T21:33:43+00:00;Mairie de Paris / Direction des Affaires Culturelles  ;;815534;;;;;;False;;;2014-05-13;2014-05-13;Mairie de Paris/Direction des Affaires Culturelles/Service informatique des bibliothèques;;;;Annuelle;;jusqu'en juillet 2018;;;;;;;;;;;;;;;;;;;;;;;;;3036
signalisation-tricolore;Signalisation lumineuse tricolore;"<p>Données du patrimoine de la Signalisation Lumineuse Tricolore de la Ville de Paris</p><p>- Signalisation Lumineuse Tricolore</p><p>- Signalisation Complémentaire</p><p>Données extraites de la base de l'outil de GMAO au format SHAPE SIG, Septembre 2018</p><p>Système de coordonnées de ce jeu de données : RGF93 Lambert 93, WKID 2154</p><p>Système de coordonnées d'origine: NTF Lambert Nord France, WKID 27561</p><p>Ce jeu de données peut être lié au jeu de données <a href=""https://opendata.paris.fr/explore/dataset/modules-sonores-passages-pietons/"" target=""_blank"">Modules sonores passages piétons</a>. La clé commune entre les deux jeux de données est le CODE_OUVRAGE ou COD_OUVRAG</p><table>  <tbody><tr>   <td><strong>Nom du champ</strong></td>   <td><strong>Type de données</strong></td>   <td><strong>Alias</strong></td>  </tr>  <tr>   <td>COD_OUVRAG</td>   <td>VARCHAR(254)</td>   <td>Identifiant de l'ouvrage</td>  </tr>  <tr>   <td>FOYER</td>   <td>VARCHAR(254)</td>   <td>Identifiant unique de la lampe</td>  </tr>  <tr>   <td>LIB_DOMAIN</td>   <td>VARCHAR(254)</td>   <td>Libellé du domaine d'ouvrage</td>  </tr>  <tr>   <td>LIB_OUVRAG</td>   <td>VARCHAR(254)</td>   <td>Catégorie de l'ouvrage </td>  </tr>  <tr>   <td>OBSERVATIO</td>   <td>VARCHAR(254)</td>   <td>Observation</td>  </tr>  <tr>   <td>POSX_OUVRA</td>   <td>DOUBLE </td>   <td>Coordonnées cartographiques X de   l'ouvrage</td>  </tr>  <tr>   <td>POSY_OUVRA</td>   <td>DOUBLE </td>   <td>Coordonnées cartographiques Y de   l'ouvrage</td>  </tr>  <tr>   <td>LIB_REGIME</td>   <td>VARCHAR(254)</td>   <td>Libellé du régime</td>  </tr>  <tr>           </tr>  <tr>   <td>VOIEVENT_V</td>   <td>VARCHAR(254)</td>   <td>Identifiant de la voie entière</td>  </tr>  <tr>   <td>FACEOP_OUV</td>   <td>VARCHAR(254)</td>   <td>Adresse : Face / Opposé</td>  </tr>  <tr>   <td>NUMVOIE_OU</td>   <td>VARCHAR(254)</td>   <td>Adresse : Num dans la voie</td>  </tr>  <tr>   <td>BISTER_OUV</td>   <td>VARCHAR(254)</td>   <td>Adresse : Bis/Ter</td>  </tr>  <tr>   <td>NATURE_VOI</td>   <td>VARCHAR(254)</td>   <td>Nature de la voie</td>  </tr>  <tr>   <td>LIB_VOIE</td>   <td>VARCHAR(254)</td>   <td>Nom de la voie</td>  </tr>  <tr>   <td>LIB_VOIEDO</td>   <td>VARCHAR(254)</td>   <td>Libellé du domaine de voie</td>  </tr>  <tr>   <td>LIB_SECTEU</td>   <td>VARCHAR(254)</td>   <td>Libellé du secteur</td>  </tr>  <tr>   <td>LIB_REGION</td>   <td>VARCHAR(254)</td>   <td>Libellé de la région technique</td>  </tr>  <tr>   <td>LIB_REGI_1</td>   <td>VARCHAR(254)</td>   <td>Libellé de l'arrondissement</td>  </tr>  <tr>   <td>COD_SUPPOR</td>   <td>VARCHAR(254)</td>   <td>Identifiant du support</td>  </tr>  <tr>   <td>LIB_SUPPOR</td>   <td>VARCHAR(254)</td>   <td>Libellé du support</td>  </tr>  <tr>   <td>HAUTEUR_SU</td>   <td>DOUBLE </td>   <td>Hauteur du support (en mètre)</td>  </tr>  <tr>   <td>DUREEVIE_S</td>   <td>DOUBLE </td>   <td>Durée de vie du support</td>  </tr>  <tr>   <td>UNITEVIE_S</td>   <td>VARCHAR(254)</td>   <td>Unité de la durée de vie </td>  </tr>  <tr>   <td>MATERIAU_S</td>   <td>VARCHAR(254)</td>   <td>Matériau du support</td>  </tr>  <tr>   <td>TYPE_SUPPO</td>   <td>VARCHAR(254)</td>   <td>Type du support</td>  </tr>  <tr>   <td>LIB_SUPP_1</td>   <td>VARCHAR(254)</td>   <td>Libellé du support</td>  </tr>  <tr>   <td>LIB_FOURNI</td>   <td>VARCHAR(254)</td>   <td>Identifiant du fournisseur du support</td>  </tr>  <tr>   <td>COD_LUMINA</td>   <td>VARCHAR(254)</td>   <td>Identifiant du luminaire</td>  </tr>  <tr>   <td>LIB_LUMINA</td>   <td>VARCHAR(254)</td>   <td>Libellé du luminaire</td>  </tr>  <tr>   <td>MODELE_LUM</td>   <td>VARCHAR(254)</td>   <td>Modèle de luminaire</td>  </tr>  <tr>   <td>DUREEVIE_L</td>   <td>DOUBLE </td>   <td>Durée de vie du luminaire</td>  </tr>  <tr>   <td>UNITEVIE_L</td>   <td>VARCHAR(254)</td>   <td>Unité de durée de vie du luminaire</td>  </tr>  <tr>   <td>MATERIAU_L</td>   <td>VARCHAR(254)</td>   <td>Matériau du luminaire</td>  </tr>  <tr>   <td>LIB_LUMI_1</td>   <td>VARCHAR(254)</td>   <td>Libellé de la famille de luminaire</td>  </tr>  <tr>   <td>LIB_FOUR_1</td>   <td>VARCHAR(254)</td>   <td>Fournisseur du luminaire</td>  </tr>  <tr>   <td>COD_LAMPE</td>   <td>VARCHAR(254)</td>   <td>Identifiant de la lampe</td>  </tr>  <tr>   <td>LIB_LAMPE</td>   <td>VARCHAR(254)</td>   <td>Libellé de la lampe</td>  </tr>  <tr>   <td>PW_LAMPE</td>   <td>DOUBLE </td>   <td>Puissance nominale de la lampe (W)</td>  </tr>  <tr>   <td>PWC_LAMPE</td>   <td>DOUBLE </td>   <td>Puissance consommée de la lampe avec app ferro (W)</td>  </tr>  <tr>   <td>PWE_LAMPE</td>   <td>DOUBLE </td>   <td>Puissance consommée de la lampe avec   app. Électronique(W)</td>  </tr>  <tr>   <td>LIB_LAMPEF</td>   <td>VARCHAR(254)</td>   <td>Libellé de la famille<br/></td>  </tr></tbody></table>";Mobilité et Espace Public;signalisation, circulation, SLT, feux tricolores, Mobilier urbain;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2018-09-10T15:24:51+00:00;;;2019-06-11T05:12:21+00:00;2019-06-11T05:12:22+00:00;Mairie de Paris/Direction de la Voirie et des Déplacements;;178025;;;;;;False;;;;;;;;;semestrielle;;;;;;;;;;;;;;;;;;;;;;;;;;;1953
eclairage-public;Eclairage public;<p>Données d'éclairage public contenant :</p><p>- Points lumineux EP</p><p>- Mobilier urbain illuminé (MU)</p><p>Données extraites de la base de l'outil de GMAO au format SHAPE SIG, Septembre 2018</p><p>Système de coordonnées de ce jeu de données : RGF93 Lambert 93, WKID 2154</p><p>Système de coordonnées d'origine: NTF Lambert Nord France, WKID 27561 </p><table>  <tbody><tr>   <td><strong>Nom du champ</strong></td>   <td><strong>Type de données</strong></td>   <td><strong>Alias</strong></td>  </tr>  <tr>   <td>COD_OUVRAG</td>   <td>VARCHAR(254)</td>   <td>Identifiant de l'ouvrage</td>  </tr>  <tr>   <td>FOYER</td>   <td>VARCHAR(254)</td>   <td>Identifiant unique de la lampe</td>  </tr>  <tr>   <td>LIB_DOMAIN</td>   <td>VARCHAR(254)</td>   <td>Libellé du domaine d'ouvrage</td>  </tr>  <tr>   <td>LIB_OUVRAG</td>   <td>VARCHAR(254)</td>   <td>Catégorie de l'ouvrage </td>  </tr>  <tr>   <td>OBSERVATIO</td>   <td>VARCHAR(254)</td>   <td>Observation</td>  </tr>  <tr>   <td>POSX_OUVRA</td>   <td>DOUBLE </td>   <td>Coordonnées cartographiques X de   l'ouvrage</td>  </tr>  <tr>   <td>POSY_OUVRA</td>   <td>DOUBLE </td>   <td>Coordonnées cartographiques Y de   l'ouvrage</td>  </tr>  <tr>   <td>LIB_REGIME</td>   <td>VARCHAR(254)</td>   <td>Libellé du régime</td>  </tr>  <tr>           </tr>  <tr>   <td>VOIEVENT_V</td>   <td>VARCHAR(254)</td>   <td>Identifiant de la voie entière</td>  </tr>  <tr>   <td>FACEOP_OUV</td>   <td>VARCHAR(254)</td>   <td>Adresse : Face / Opposé</td>  </tr>  <tr>   <td>NUMVOIE_OU</td>   <td>VARCHAR(254)</td>   <td>Adresse : Num dans la voie</td>  </tr>  <tr>   <td>BISTER_OUV</td>   <td>VARCHAR(254)</td>   <td>Adresse : Bis/Ter</td>  </tr>  <tr>   <td>NATURE_VOI</td>   <td>VARCHAR(254)</td>   <td>Nature de la voie</td>  </tr>  <tr>   <td>LIB_VOIE</td>   <td>VARCHAR(254)</td>   <td>Nom de la voie</td>  </tr>  <tr>   <td>LIB_VOIEDO</td>   <td>VARCHAR(254)</td>   <td>Libellé du domaine de voie</td>  </tr>  <tr>   <td>LIB_SECTEU</td>   <td>VARCHAR(254)</td>   <td>Libellé du secteur</td>  </tr>  <tr>   <td>LIB_REGION</td>   <td>VARCHAR(254)</td>   <td>Libellé de la région technique</td>  </tr>  <tr>   <td>LIB_REGI_1</td>   <td>VARCHAR(254)</td>   <td>Libellé de l'arrondissement</td>  </tr>  <tr>   <td>COD_SUPPOR</td>   <td>VARCHAR(254)</td>   <td>Identifiant du support</td>  </tr>  <tr>   <td>LIB_SUPPOR</td>   <td>VARCHAR(254)</td>   <td>Libellé du support</td>  </tr>  <tr>   <td>HAUTEUR_SU</td>   <td>DOUBLE </td>   <td>Hauteur du support (en mètre)</td>  </tr>  <tr>   <td>DUREEVIE_S</td>   <td>DOUBLE </td>   <td>Durée de vie du support</td>  </tr>  <tr>   <td>UNITEVIE_S</td>   <td>VARCHAR(254)</td>   <td>Unité de la durée de vie </td>  </tr>  <tr>   <td>MATERIAU_S</td>   <td>VARCHAR(254)</td>   <td>Matériau du support</td>  </tr>  <tr>   <td>TYPE_SUPPO</td>   <td>VARCHAR(254)</td>   <td>Type du support</td>  </tr>  <tr>   <td>LIB_SUPP_1</td>   <td>VARCHAR(254)</td>   <td>Libellé du support</td>  </tr>  <tr>   <td>LIB_FOURNI</td>   <td>VARCHAR(254)</td>   <td>Identifiant du fournisseur du support</td>  </tr>  <tr>   <td>COD_CONSOL</td>   <td>DOUBLE </td>   <td>Identifiant de la console</td>  </tr>  <tr>   <td>LIB_CONSOL</td>   <td>VARCHAR(254)</td>   <td>Libellé technique de la console</td>  </tr>  <tr>   <td>DUREEVIE_C</td>   <td>DOUBLE </td>   <td>Durée de vie de la console</td>  </tr>  <tr>   <td>UNITEVIE_C</td>   <td>VARCHAR(254)</td>   <td>Unité de durée de vie de la console</td>  </tr>  <tr>   <td>LIB_CONS_1</td>   <td>VARCHAR(254)</td>   <td>Libellé de la console</td>  </tr>  <tr>   <td>LIB_FOUR_1</td>   <td>VARCHAR(254)</td>   <td>Fournisseur de la console</td>  </tr>  <tr>   <td>COD_LUMINA</td>   <td>VARCHAR(254)</td>   <td>Identifiant du luminaire</td>  </tr>  <tr>   <td>LIB_LUMINA</td>   <td>VARCHAR(254)</td>   <td>Libellé du luminaire</td>  </tr>  <tr>   <td>IS_OUVERT_</td>   <td>DOUBLE </td>   <td>Luminaire O/N</td>  </tr>  <tr>   <td>MODELE_LUM</td>   <td>VARCHAR(254)</td>   <td>Modèle de luminaire</td>  </tr>  <tr>   <td>DUREEVIE_L</td>   <td>DOUBLE </td>   <td>Durée de vie du luminaire</td>  </tr>  <tr>   <td>UNITEVIE_L</td>   <td>VARCHAR(254)</td>   <td>Unité de durée de vie du luminaire</td>  </tr>  <tr>   <td>MATERIAU_L</td>   <td>VARCHAR(254)</td>   <td>Matériau du luminaire</td>  </tr>  <tr>   <td>CLASSEIP_L</td>   <td>VARCHAR(254)</td>   <td>Classe IP du luminaire</td>  </tr>  <tr>   <td>CLASSE_LUM</td>   <td>VARCHAR(254)</td>   <td>Classe de luminaire </td>  </tr>  <tr>   <td>LIB_LUMI_1</td>   <td>VARCHAR(254)</td>   <td>Libellé de la famille de luminaire</td>  </tr>  <tr>   <td>LIB_FOUR_2</td>   <td>VARCHAR(254)</td>   <td>Fournisseur du luminaire</td>  </tr>  <tr>   <td>XLUMELEC</td>   <td>DOUBLE </td>   <td>Présence appareillage électronique</td>  </tr>  <tr>   <td>COD_LAMPE</td>   <td>VARCHAR(254)</td>   <td>Identifiant de la lampe</td>  </tr>  <tr>   <td>LIB_LAMPE</td>   <td>VARCHAR(254)</td>   <td>Libellé de la lampe</td>  </tr>  <tr>   <td>PW_LAMPE</td>   <td>DOUBLE </td>   <td>Puissance nominale de la lampe (W)</td>  </tr>  <tr>   <td>PWC_LAMPE</td>   <td>DOUBLE </td>   <td>Puissance consommée de la lampe avec app ferro (W)</td>  </tr>  <tr>   <td>PWE_LAMPE</td>   <td>DOUBLE </td>   <td>Puissance consommée de la lampe avec   app. électronique(W)</td>  </tr>  <tr>   <td>FORME_LAMP</td>   <td>VARCHAR(254)</td>   <td>Forme de la lampe</td>  </tr>  <tr>   <td>TYPE_LAMPE</td>   <td>VARCHAR(254)</td>   <td>Type de lampe</td>  </tr>  <tr>   <td>MODELE_LAM</td>   <td>VARCHAR(254)</td>   <td>Modèle de lampe</td>  </tr>  <tr>   <td>DUREEVIE_1</td>   <td>DOUBLE </td>   <td>Durée de vie de la lampe</td>  </tr>  <tr>   <td>UNITEVIE_1</td>   <td>VARCHAR(254)</td>   <td>Unité de temps pour la durée de vie de   la lampe</td>  </tr>  <tr>   <td>FLUX_LAMPE</td>   <td>DOUBLE </td>   <td>Flux de la lampe (en Lumen)</td>  </tr>  <tr>   <td>CLASSE_LAM</td>   <td>VARCHAR(254)</td>   <td>Classe de la lampe</td>  </tr>  <tr>   <td>VOLT_LAMPE</td>   <td>DOUBLE </td>   <td>Voltage (V)</td>  </tr>  <tr>   <td>TEMPCOULEU</td>   <td>DOUBLE </td>   <td>Température de la lampe (en Kelvin)</td>  </tr>  <tr>   <td>LIB_LAMPEF</td>   <td>VARCHAR(254)</td>   <td>Libellé de la famille</td>  </tr>  <tr>   <td>LIB_FOUR_3</td>   <td>VARCHAR(254)</td>   <td>Fournisseur de la lampe</td>  </tr>  <tr>   <td>GRADATION</td>   <td>DOUBLE </td>   <td>Gradation en % de la puissance max   (formule non linéaire)</td>  </tr>  <tr>   <td>ULOR</td>   <td>DOUBLE </td>   <td>Upward Light Output Ratio</td>  </tr>  <tr>   <td>DLOR</td>   <td>DOUBLE </td>   <td>Downward Light Output Ratio</td>  </tr>  <tr>   <td>RTOT</td>   <td>DOUBLE </td>   <td>Ratio Total</td>  </tr></tbody></table>;Mobilité et Espace Public;lampadaires, luminaire;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2018-09-12T07:09:39+00:00;;;2019-06-08T04:16:50+00:00;2019-06-08T04:16:52+00:00;Mairie de Paris/Direction de la Voirie et des Déplacements;;198622;;;;;;False;;;;;;;;;semestrielle;;;;;;;;;;;;;;;;;;;;;;;;;;;4230
jsv_perim_restriction_circulation;Journée sans voiture - Périmètres 16-09-2018;"<p><strong>Journée sans voiture du 16/09/2018</strong></p><p>La 4<sup>e</sup> édition de la Journée  sans voiture est organisée le dimanche 16 septembre, de 11h à 18h. Elle  coïncide avec les Journées du patrimoine et la Semaine européenne de la  mobilité.</p><p>C'est une journée où Paris manifeste  avec force l'une de ses priorités: rendre l'espace public moins pollué,  plus agréable et plus apaisé. </p><p><strong></strong><em><strong>Le boulevard périphérique est en dehors de la zone restreinte</strong></em><strong> et sans changement sur la vitesse maximale autorisée.</strong></p><p>Pour plus d'information :</p><p><a href=""https://www.paris.fr/journeesansvoiture"">https://www.paris.fr/journeesansvoiture</a></p><p>Arrêté réglementant la circulation des véhicules à l'occasion de la ""Journée sans voiture"" le 16 septembre 2018 à Paris :</p><p><a href=""https://api-site-cdn.paris.fr/images/103955"">https://api-site-cdn.paris.fr/images/103955</a></p>";Mobilité et Espace Public;circulation, Zones de circulation, Zones piétonnes, Restriction circulation, Paris sans voiture;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2018-09-14T08:07:52+00:00;;;2018-09-14T13:24:08+00:00;2018-09-14T13:24:09+00:00;Mairie de Paris / Direction de la Communication ;;4;;;;;;False;;;;;Mairie de Paris / Direction des Systèmes d’Information et du Numérique;;;;Annuelle;Paris;;;;;;;;;;;;;;;;;;;;;;;;;;623
